lead_underwriter,profile,en_name,stock_code,name,listing_date,establish_date,organization,instit_type,listing_price,scope,market
泰阳证券有限责任公司,"    本公司原名重庆中奇特种汽车制造有限公司,系根据的规定设立的有限责任公司,于1997年10月9日注册成立。于2000年7月31日,经重庆市人民政府以渝府[2000]149号文批准,依法整体变更为股份有限公司并更名为""重庆市迪马实业股份有限公司"",注册资本为人民币6,000万元。经中国证券监督管理委员会证监发行字[2002]68号文核准,本公司于2002年7月10日以每股15.80元的价格向社会公众发行人民币普通股2,000万股,并于2002年7月23日在上海证券交易所挂牌交易。","Chongqing Dima Industry Co.,Ltd.",迪马股份(600565),重庆市迪马实业股份有限公司,2002-07-23,1997-10-09,民营相对控股企业,其它,15.80,"房地产开发(按资质证书核定期限经营);制造、销售运钞车、特种车及零部件(按国家行业主管部门批准的车型组织生产、销售),上述汽车售后服务;销售汽车(不含九座及以下乘用车);经营本企业自产的机电产品出口业务(国家组织统一联合经营的出口商品除外)、本企业生产、科研所需的原辅材料、机械设备、仪器仪表及零配件的进口业务(国家实行核定公司经营的进口商品除外);电子产品、计算机软件、硬件及网络设施的技术开发及销售,计算机系统集成及相关信息服务(除国家有专项管理规定的项目外);销售建筑材料及装饰材料。",上海证券交易所
中国东方信托投资公司,"    湖北美尔雅股份有限公司是1993年3月20日经湖北省体改委鄂体改(1993)122号文批准,以黄石美尔雅服装总厂作为主要发起人采取定向募集方式设立的股份有限公司。1997年10月8日经中国证券监督管理委员会证监发行字[1997]474号、[1997]475号文批准,本公司向社会公开发行人民币普通股5000万股,每股面值1元。,
    1997年11月6日经上海证券交易所批准,本公司社会公众股在上海证券交易所挂牌交易。","Hubei Mailyard Share Co.,Ltd.",美尔雅(600107),湖北美尔雅股份有限公司,1997-11-06,1993-12-31,民营企业,其它,8.10,服装、服饰和纺织品研发、设计、制造和销售;自营和代理各类商品和技术的进出口(不含国家限定和禁止类业务);房屋租赁;仓储(不含有毒、有害化学危险品);投资酒店业及政策允许的其他产业。,上海证券交易所
西部证券股份有限公司,"    公司前身为""新疆鑫泰投资(集团)有限公司"",成立于2002年6月13日。,
    2013年1月16日,鑫泰有限整体变更设立""新疆鑫泰天然气股份有限公司""。","Xinjiang Xintai Natural Gas Co.,ltd.",新天然气(603393),新疆鑫泰天然气股份有限公司,2016-09-12,2002-06-13,民营企业,其它,26.66,"天然气(未经许可的危险化学品不得经营)。对城市供热行业的投资;燃气具、建筑材料、钢材、五金交电、机电产品、化工产品的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",上海证券交易所
海通证券股份有限公司,"    宁波精达成形装备股份有限公司的前身为宁波精达机电科技有限公司,成立于2002年8月15日。,
    2011年1月15日,宁波精达机电科技有限公司股东大会通过整体变更为股份公司的决议,变更为宁波精达成形装备股份有限公司。,
    2011年2月21日,宁波精达成形装备股份有限公司在宁波市工商行政管理局领取了注册号为330200000071060号企业法人营业执照。","Jdm Jingda Machine(ningbo)co.,ltd.",宁波精达(603088),宁波精达成形装备股份有限公司,2014-11-11,2002-08-15,民营企业,其它,8.57,"换热器设备、精密成形压力机、自动化设备、机械设备、机械设备的原辅料、机械配件、模具的设计、制造、加工、销售;实业投资;自营和代理各类货物和技术的进出口,但国家限定经营或禁止进出口的货物及技术除外;自有房屋租赁。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",上海证券交易所
中信证券股份有限公司,"    上海宝钢包装股份有限公司的前身上海宝印金属彩涂有限公司成立于2004年3月26日。,
    2009年1月4日,上海宝印金属彩涂有限公司更名为""上海宝钢印铁有限公司""。,
    2010年3月19日,上海宝钢印铁有限公司更名为""上海宝钢包装有限公司""。,
    2010年12月29日,公司名称正式变更为""上海宝钢包装股份有限公司""。","Shanghai Baosteel Packaging Co.,ltd.",宝钢包装(601968),上海宝钢包装股份有限公司,2015-06-11,2004-03-26,国有企业,其它,3.08,"各类材质包装制品设计、销售;各种材质包装材料的销售;货物及技术的进出口业务;包装装潢印刷;投资咨询,在包装材料科技领域内的技术服务、技术咨询、技术开发、技术转让。[依法须经批准的项目,经相关部门批准后方可开展经营活动]",上海证券交易所
华林证券股份有限公司,"    公司前身为1999年5月7日成立的安徽省庐江安德利贸易中心有限公司,2012年2月17日,有限公司整体变更设立为安徽安德利百货股份有限公司。","Anhui Andeli Department Store Co.,Ltd.",安德利(603031),安徽安德利百货股份有限公司,2016-08-22,1999-05-07,民营企业,其它,11.71,"许可经营项目:预包装食品兼散装食品、乳制品(含婴幼儿配方乳粉)批发兼零售;保健食品经营;卷烟零售(雪茄烟);冷冻食品销售;糕点面包加工、销售(仅限分公司经营);炒货食品及坚果制品(烘炒类、油炸类)(分装)销售;蔬菜制品【食品菌制品(干制食用菌)】(分装)销售;糖(白砂糖、赤砂糖、冰糖)(分装)销售;水果制品(水果干制品)(分装)销售;冷冻动物产品(仅限分公司经营);图书、音像制品销售(仅限分公司经营)。(上述内容凭有效许可证经营)(以上范围涉及行政许可和资质的凭许可证和资质证在核定范围内经营)一般经营项目:家电、百货、针纺织品、服装、鞋帽销售,农副产品购销(不含粮棉),家具、五金交电、黄金珠宝、摩托车、自行车、机电产品销售;为本企业运输,家电维修,空调安装,产品咨询服务;电脑及电脑耗材销售;旧家电销售、回收服务。租赁柜台、仓库、设备。广告设计、制作、发布。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",上海证券交易所
华泰联合证券有限责任公司,"    公司前身为南京音飞储存设备工程有限公司,设立于2002年6月17日。,
    2011年11月14日,公司取得南京市工商局换发的,南京音飞储存设备工程有限公司整体变更为南京音飞储存设备股份有限公司。,
    2016年11月,南京音飞储存设备股份有限公司更名为南京音飞储存设备(集团)股份有限公司。","Nanjing Inform Storage Equipment(group)Co.,Ltd.",音飞储存(603066),南京音飞储存设备(集团)股份有限公司,2015-06-11,2002-06-17,民营企业,其它,12.43,立体仓库系统及设备、货架、仓储设备、机械式停车设备、钢结构及五金制品、输送设备的设计、制造、安装、销售自产产品;供应链管理及技术咨询、技术转让、技术服务;软件产品的研发、销售;自营和代理各类商品及技术的进出口业务;企业管理咨询、商务信息咨询。,上海证券交易所
海通证券股份有限公司,"    公司前身杭州永创机械有限公司成立于2002年11月7日。,
    2011年10月15日,公司在浙江省杭州市工商行政管理局办理完毕变更登记,并领取了注册号为330106000039238的企业法人营业执照,更名为“杭州永创智能设备股份有限公司”。","Hangzhou Youngsun Intelligent Equipment Co.,Ltd.",永创智能(603901),杭州永创智能设备股份有限公司,2015-05-29,2002-11-07,民营企业,其它,15.81,"包装机械及其零配件、工业机器人及其成套系统、精密仪器、非金属制品模具、包装材料的研发、设计、制造、加工,计算机软件、自动化信息系统的研发、设计、制作及工程承包、技术转让、技术咨询、技术服务,培训服务(不含办班培训),包装机械的维护、修理,本企业生产所需的废旧打包带、塑料颗粒的回收(限企业内经营,废旧金属除外),从事进出口业务。",上海证券交易所
中信证券股份有限公司,"    公司前身为""山东步长恩奇制药有限公司"",成立于2001年5月10日;2004年1月,步长恩奇更名为""山东步长制药有限公司""。,
    2012年3月19日,步长制药整体变更设立""山东步长制药股份有限公司""。","Shandong Buchang Pharmaceuticals Co.,Ltd.",步长制药(603858),山东步长制药股份有限公司,2016-11-18,2001-05-10,中外合资企业,其它,55.88,"片剂、硬胶囊剂、颗粒剂、丸剂(蜜丸、浓缩丸、水丸、水蜜丸)、口服液。(依法须经批准的项目,经相关部门批准后方可开展经营活动,有效期以许可证为准)。",上海证券交易所
,"    万鸿集团股份有限公司于1992年经武汉市经济体制改革委员会武体改(1992)第9号文批准,由原武汉印刷厂、北京京华信托投资公司、深圳万科企业股份有限公司联合发起组建,于1992年3月18日正式成立,公司名称为武汉长印(集团)股份有限公司。,
    经1999年度第二届八次董事会和第二届第三次股东大会审议通过,并经工商管理部门批准,公司更名为""武汉诚成文化投资集团股份有限公司""。,
    经2002年度股东大会审议通过,公司于2003年7月4日在武汉工商行政管理局办理了工商变更注册登记,将""武汉诚成文化投资集团股份有限公司""更名为""武汉奥园城市发展股份有限公司""。,
    经2003年第一次临时股东大会审议通过,公司于2003年12月5日在武汉市工商行政管理局办理完工商变更注册登记,公司名称由""武汉奥园城市发展股份有限公司""变更为""武汉万鸿集团股份有限公司""。,
    经2003年年度股东大会审议通过,公司于2004年8月12日在武汉市工商行政管理局办理完工商变更注册登记,公司名称由""武汉万鸿集团股份有限公司""变更为""万鸿集团股份有限公司""。,
    2016年4月,公司名称由万鸿集团股份有限公司变更为百川能源股份有限公司,英文名称由Winowner Group Co.,Ltd.变更为Bestsun Energy CO.,LTD.。","Bestsun Energy Co.,Ltd.",百川能源(600681),百川能源股份有限公司,1993-10-18,1992-03-18,民营相对控股企业,其它,4.00,对能源类行业和城市公用事业进行投资;管道燃气(天然气)、瓶装燃气(液化石油气)、燃气汽车加气站(天然气);天然气用具的销售、安装及维修、维护。(国家有专项规定的经营项目经审批后或凭许可证件在核定的期限内方可经营)。,上海证券交易所
华安证券股份有限公司,"    2003年4月30日,公司前身宁波君禾泵业有限公司成立。,
    2011年9月22日,有限公司整体变更设立为股份有限公司,公司名称变更为“君禾泵业股份有限公司”。","Junhe Pumps Holding Co.,Ltd.",君禾股份(603617),君禾泵业股份有限公司,2017-07-03,2003-04-30,民营企业,其它,8.93,"水泵、园林工具、电动工具、液动工具、气动工具的制造、加工;自营或代理货物和技术的进出口,但国家限制经营或禁止进出口的货物和技术除外。",上海证券交易所
申银万国证券股份有限公司,"    公司系1993年经宁波市体改委以""甬体改(1993)28号""文批准,由宁波盛达发展公司和宁波青春服装厂等发起并以定向募集方式设立的股份有限公司。,
    1998年10月12日,经中国证券监督管理委员会以""证监发字(1998)253号""文批准,公司向社会公众公开发行境内上市内资股(A股)股票5,500万股并上市交易。","Youngor Group Co.,Ltd.",雅戈尔(600177),雅戈尔集团股份有限公司,1998-11-19,1993-06-25,民营企业,其它,10.92,服装制造;技术咨询;房地产开发;项目投资;仓储;针纺织品、金属材料、化工产品、建筑材料、机电、家电、电子器材的批发、零售;自营和代理各类商品及技术的进出口业务(国家规定的专营进出口商品和国家禁止进出口等特殊商品除外)。,上海证券交易所
国泰君安证券股份有限公司,"    公司前身是徽县金徽酒业有限公司,于2009年12月23日成立;2012年6月6日,公司更名为金徽酒股份有限公司。","Jinhui Liquor Co.,ltd.",金徽酒(603919),金徽酒股份有限公司,2016-03-10,2009-12-23,民营企业,其它,10.94,白酒、水、饮料及其副产品生产、销售;包装装潢材料设计、开发、生产、销售(许可项目凭有效证件经营)。,上海证券交易所
招商证券股份有限公司,株洲千金药业股份有限公司前身是建成于1966年的株洲市医药公司附属工厂，1975年该工厂更名为株洲市中药厂。1993年6月9日，经湖南省体改委湘体改字[1993]113号《关于同意成立株洲千金药业股份有限公司的批复》和湘体改函[1993]04号《关于株洲千金药业股份有限公司股本结构调整确认的函》批准，原株洲市中药厂整体改制，联合湖南省烟草公司株洲市公司、中国工商银行株洲市信托投资公司（已于1996年将所持股权转让给株银新技术开发公司），并向社会法人和内部职工定向募集股份设立本公司。,"ZhuZhou QianJin Pharmaceutical Co.,Ltd.",千金药业(600479),株洲千金药业股份有限公司,2004-03-12,1993-08-12,,其它,23.05,研制、生产、销售药品、食品、保健食品、消毒产品、化妆品，野生动植物加工销售、进出口业务（以上国家法律、法规有专门规定的，在本企业许可证核定范围内经营）。,上海证券交易所
平安证券有限责任公司,"    江苏恒立高压油缸股份有限公司的前身为江苏恒立高压油缸有限公司,成立于2005年6月2日。2010年7月12日,公司整体变更为股份有限公司。,
    2016年1月,公司名称由“江苏恒立高压油缸股份有限公司”变更为“江苏恒立液压股份有限公司”,英文名称由“Jiangsu Hengli High pressure Oil Cylinder Co.,ltd.”变更为“Jiangsu Hengli Hydraulic CO.,Ltd.”。","Jiangsu Hengli Hydraulic Co.,Ltd.",恒立液压(601100),江苏恒立液压股份有限公司,2011-10-28,2005-06-02,民营相对控股企业,其它,23.00,"从事高压油缸、液压件、液压系统、高压柱塞泵及马达、高压液压阀、精密铸件研发、生产与相关技术支持服务;机械设备制造及机械零部件制造,销售自产产品;道路货物运输服务(普通货运)。",上海证券交易所
湘财证券有限责任公司,"    本公司系经湖南省人民政府湘政函[1999]26号文批准,由湖南德海西湖渔业总场、安乡县珊泊湖渔场、常德泓鑫水殖有限公司、湖南省常德桥南市场开发总公司及中国水产科学研究院共同发起设立的股份有限公司。,
    经中国证券监督管理委员会证监发行字[2000]57号文批准,本公司于2000年5月15日向社会公众公开发行人民币普通股(A股)4,000万股,并于2000年6月12日在上海证券交易所挂牌上市交易。,
    2009年5月,公司名称由“湖南洞庭水殖股份有限公司”更名为“大湖水殖股份有限公司”,英文名称由“HUNAN DONGTING AQUACULTURE CO.,LTD.”更名为“DAHU AQUACULTURE CO.,LTD.”。","Dahu Aquaculture Co.,Ltd.",大湖股份(600257),大湖水殖股份有限公司,2000-06-12,1999-01-18,民营企业,其它,8.90,"湖泊、水库鱼类生态放养;水产品生产与加工、种苗繁育、品牌营销;体育项目组织服务、体育项目综合开发、体育场馆服务;文化旅游活动组织与策划、旅游管理服务、旅游项目开发;大湖泊水环境治理、湖泊藻化治理与富营养化控制、水污染治理技术、生态工程及修复技术的研发推广、转让、咨询、工程施工;新能源技术推广服务及技术咨询、光伏发电项目的开发建设与经营管理;食品、饮料的生产与销售;生物工程技术(国家有专项规定的除外)研究、开发;依托互联网等技术手段提供金融中介服务(根据国家规定需要审批的,获得审批后方可经营);信息咨询(不含限制项目);投资管理、投资咨询、投资顾问(以上不含限制项目);经营本企业《中华人民共和国进出口经营企业资格证书》核定范围内的进出口业务(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",上海证券交易所
南方证券有限公司,"    四川沱牌舍得酒业股份有限公司原企业四川省射洪沱牌曲酒厂,是建国初期建立的地方国有酿酒企业。,
    1993年3月3日,四川省股份制试点联审小组[川股审(1993)4号]批准四川省射洪沱牌曲酒厂部分改制,与工商银行四川省分行总府支行等共同发起设立四川沱牌实业股份有限公司。,
    1996年11月15日,公司第5次股东大会决议将公司名称由""四川沱牌实业股份有限公司""变更为""四川沱牌曲酒股份有限公司""。,
    公司全称由""四川沱牌曲酒股份有限公司""正式变更为""四川沱牌舍得酒业股份有限公司"",英文名称由""Tuopai Yeast Liquor Co.,Ltd.Sichuan""变更为""Sichuan Tuopai Shede Wine Co.,Ltd."",自2011年6月27日起启用新的公司名称。,
    2017年3月,英文名称由“Sichuan Tuopai Shede Wine Co.,Ltd.”变更为“Sichuan Tuopai Shede Spirits Co.,ltd”。","Sichuan Tuopai Shede Spirits Co.,ltd.",沱牌舍得(600702),四川沱牌舍得酒业股份有限公司,1996-05-24,1993-07-28,民营企业,其它,7.28,"粮食收购;白酒、其他酒(配制酒)及纯净水生产、销售;危险货物运输(3类);普通货运(以上项目经营期限以许可证为准);(以下项目不含前置许可项目,后置许可项目凭许可证或审批文件经营)进出口业务;商品批发与零售;技术推广服务;商务服务业;专业技术服务业。",上海证券交易所
华融证券股份有限公司,"    公司系由湖南百利工程科技有限公司整体变更设立。公司于2011年12月16日在岳阳市工商行政管理局注册登记,取得注册号为430600000009729的。","Hunan Baili Engineering Sci & Tech Co.,Ltd.",百利科技(603959),湖南百利工程科技股份有限公司,2016-05-17,1992-11-11,民营企业,其它,6.03,"国家颁发的《资质证书》从事国内外工程设计、工程咨询服务;在工程设计许可范围内开展国内外工程总承包、工程项目管理与对外派遣实施境外工程所需的劳务人员;工程项目的机电设备、自动化仪表、建筑材料的销售;货物、技术进出口业务;本公司业务范围内的技术开发、技术服务与技术转让;计算机软件开发及销售;文印、打字、晒图服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",上海证券交易所
国元证券股份有限公司,"    本公司是经安徽省委、省政府同意,经安徽省委宣传部皖宣办字[2008]4号和安徽省财政厅财教[2008]51号批准,由安徽新华发行集团有限公司整体变更设立的股份有限公司。2008年2月28日,本公司在安徽省工商行政管理局注册登记并领取。","Anhui Xinhua Media Co.,ltd.",皖新传媒(601801),安徽新华传媒股份有限公司,2010-01-18,2002-10-25,,其它,11.80,"许可经营项目:图书、报纸、期刊、电子出版物总发行;安徽省中小学教科书发行;音像制品批发零售。一般经营项目:图书租型造货及咨询服务;出版物及文体、数码产品仓储、物流、配送、连锁管理;计算机信息系统设计、集成及技术服务,教育软件、计算机软件硬件开发及销售;电子设备及产品、教学仪器设备销售、仓储;音乐、体育、美术、卫生器材销售、仓储;办公家具、医用家具、金融办公用品销售;传播与文化产业的投资、开发、管理及咨询服务;广告业务;进出口业务,物业管理,房屋租赁;资产管理;设备租赁、不动产租赁;建筑安装及建筑装饰;互联网信息服务;制作、发行电视综艺、电视专题、电视剧、电视动画片等。(上述经营范围涉及行政许可的凭许可证经营)。",上海证券交易所
中信建投证券股份有限公司,"    1986年3月,天台县苍山区橡胶三厂设立。,
    1988年11月,“天台县苍山区橡胶三厂”名称变更为“天台县橡胶三厂”。,
    1997年10月5日,“天台县橡胶三厂”更名为“浙江省天台祥和实业有限公司”。,
    2015年10月13日,浙江天台祥和实业有限公司更名为浙江天台祥和实业股份有限公司。","Zhejiang Tiantai Xianghe Industrial Co.,ltd.",祥和实业(603500),浙江天台祥和实业股份有限公司,2017-09-04,1997-10-05,民营企业,其它,13.17,"铁路专用设备及器材、配件制造;城市轨道交通设备制造;电子元件制造;橡胶制品、塑料制品、金属工具制造;自有商业房屋租赁服务,投资管理,货物和技术进出口。",上海证券交易所
长城证券有限责任公司,"    贵州钢绳股份有限公司于2000年10月19日在贵州省工商行政管理局注册成立的股份有限公司。,
    2004年5月14日,贵州钢绳股份有限公司公开发行的7000万股人民币普通股股票在上海证券交易所上市交易。","Guizhou Wire Rope Co.,Ltd.",贵绳股份(600992),贵州钢绳股份有限公司,2004-05-14,2000-10-19,,其它,7.40,钢丝、钢丝绳产品及相关设备、材料、技术的研究、生产、加工、销售及进出口业务;相关科技产品的研制、开发与技术服务;混凝土用钢材(钢丝、钢棒和钢绞线)、线材、小型钢材、机械设备制造、加工、销售及进出口业务;钢丝、钢丝绳生产科研所需的原辅材料、机械设备、仪器仪表、零配件的生产、销售及进出口;废旧钢铁收购、对外来料来样加工、来件加工、来件装配和进料加工及补偿贸易业务;建筑机电安装工程;索具加工、销售及进出口;化工产品(不含化学危险品)生产、销售及进出口业务;道路普通货物运输业务;起重机械的安装、维修等相应业务。,上海证券交易所
广发证券股份有限公司,"    本公司是经辽宁省人民政府(辽政[2003]40号)批准,由金卫东等23名自然人发起设立的股份有限公司。2003年3月27日,辽宁禾丰牧业股份有限公司在辽宁省工商行政管理局注册成立。","Liaoning Wellhope Agri-Tech Joint Stock Co.,Ltd.",禾丰牧业(603609),辽宁禾丰牧业股份有限公司,2014-08-08,2003-03-27,民营相对控股企业,其它,5.88,"饲料及饲料添加剂加工、生产、销售;粮食收购(自用);饲料原料销售;家禽、牲畜饲养,海、淡水养殖;农副土特产品加工;道路普通货运(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",上海证券交易所
