lead_underwriter,profile,en_name,stock_code,name,listing_date,establish_date,organization,instit_type,listing_price,scope,market
,"    无锡小天鹅股份有限公司是经江苏省体改委苏体改生(1993)253号文批复组建的定向募集股份有限公司。1996年7月本公司经江苏省人民政府(1996)52号文批准,并经国务院证券委证委发(1996)14号文和深圳市证券管理办公室深证办函(1996)4号文批准,公开发行了7,000万股B股并转为社会公众公司,于1996年7月正式在深圳证券交易所挂牌交易。1997年3月本公司经中国证券监督管理委员会证监发字(1997)54号文和证监发字(1997)55号文批准,采用""上网定价""发行方式,公开发行6,000万股人民币普通股,于1997年3月正式在深圳证券交易所挂牌上市。",Wuxi Little Swan Company Limited,小天鹅A(000418),无锡小天鹅股份有限公司,1997-03-28,1993-11-29,民营相对控股企业,其它,,家用电器、工业陶瓷产品、环保型干洗设备、清洗机械设备、后续整理设备及零配件的制造、销售及售后服务;洗涤服务;机械加工;自营和代理各类商品及技术的进出口业务(但国家限定企业经营或禁止进出口的商品和技术除外);家电技术服务;对外承包工程(凭有效资质证书经营);利用自有资金对金融业进行投资。,深圳证券交易所
云南省证券公司,"    公司的发起人昆明百货大楼创建于1959年,是建国后国家兴建的第一批大型商业企业。1992年经昆明市体改委昆体改(1992)33号文批准,以昆明百货大楼作为独立发起人,以定向募集方式设立的股份有限公司。本公司于1992年11月30日在云南省工商行政管理局登记注册,企业法人营业执照注册号为5301001008374。1993年10月由中国证券监督管理委员会证监发审字(1993)83号文复审通过,批准昆百大为上市公司,向社会公开发行股票3,000万股,并于1994年2月在深圳证券交易所挂牌交易,成为云南省首批上市公司。","Kunming Sinobright (Group) Co.,Ltd.",昆百大A(000560),昆明百货大楼(集团)股份有限公司,1994-02-02,1992-11-30,民营企业,其它,3.96,"国内贸易、物资供销、进出口贸易;停车服务;物业管理;商场经营管理;柜台租赁;场地租赁;企业营销咨询;电子商务平台营运建设管理;以下经营范围限分公司经营:文化娱乐业、酒店业;饮食服务;日用百货连锁经营(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",深圳证券交易所
海南省信托投资公司,"    公司(原名海南珠江实业股份有限公司),系经海南省人民政府办公厅琼府办1992)1号文批准实行股份制规范化改组设立的股份有限公司。1992年1月在海南省工商行政管理局登记注册。1992年12月经中国人民银行证管办(1992)第83号文批准,向社会公众公开发行人民币普通股2,108.64万股并在深圳证券交易所上市,1995年6月经中国证券监督管理委员会批准,发行境内上市外资股(B股)。本公司于2000年1月更为现名,2006年由海南省工商行政管理局换发企业法人营业执照,注册号:4600001006830。","Hainan Pearl River Holdings Co.,Ltd.",珠江控股(000505),海南珠江控股股份有限公司,1992-12-21,1988-03-22,,其它,1.00,"预包装食品、饮料、油脂、油料及其副产品、植物蛋白及其制品、土壤修复剂、土壤调理剂、有机肥料、微生物肥料的生产销售;土地修复,土壤修复;农业种植、养殖,农业器械的销售;种子生产;计算机网络技术、通讯项目投资,高新技术产品研制和开发应用;环保项目投资及咨询;动漫、平面设计;货物及技术进出口;自有房屋、土地的租赁经营。(企业依法自主选择经营项目,开展经营活动;销售食品以及依法须经批准的项目,经相关部门批准后依批准的内容开展经营活动)。",深圳证券交易所
国信证券股份有限公司,"    公司是由""山东龙大肉食品有限公司""整体变更设立的股份有限公司。2010年2月23日,山东省商务厅出具,同意龙大有限整体变更为外商投资股份有限公司,名称变更为""山东龙大肉食品股份有限公司""。同日,山东省人民政府换发公司,批准号为:[商外资鲁府字(2009)0943号]。","Shandong Longda Meat Foodstuff Co.,Ltd.",龙大肉食(002726),山东龙大肉食品股份有限公司,2014-06-26,2003-07-09,民营相对控股企业,其它,9.79,"生产加工各种肉制品、蛋制品、速冻食品、罐头食品、调味品,并销售公司上述所列自产产品;生猪屠宰;肉类产品的进口及批发(不含食品);饲料的生产及销售;以特许经营方式从事商业活动(限销售本公司自产产品,不涉及国营贸易管理商品;许可期限以许可证为准);仓储服务(不含危险化学品)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",深圳证券交易所
"中国国泰证券有限公司,光大证券有限责任公司","    公司是依据中华人民共和国(""中国"")《公司法》由发起人烟台张裕集团有限公司(""总公司"")以其拥有的有关经营酒类业务的资产及负债进行合并重组并改制而成的股份有限公司。本公司及子公司(""本集团"")从事葡萄酒、白兰地、香槟及保健酒的生产和销售。,
    本公司于1997年9月23日在深圳证券交易所上市交易。于1997年9月18日,本公司获得山东省工商行政管理局签发的企业法人营业执照[26718011-9]号。本公司的A股于2000年10月26日在深圳证券交易所上市交易。",Yantai Changyu Pioneer Wine Company Limited,张裕A(000869),烟台张裕葡萄酿酒股份有限公司,2000-10-26,1997-09-18,民营相对控股企业,其它,,葡萄酒及果酒(原酒、加工灌装)生产;配制酒及其他配制酒(葡萄露酒)生产;其他酒(其他蒸馏酒)生产;包装材料、酿酒机械的生产、加工、销售;葡萄种植、收购;旅游资源开发(不含旅游业);包装设计;房屋出租活动;备案范围进出口贸易;仓储业务;国家政策允许范围内的对外投资。,深圳证券交易所
南方证券有限公司,"    山东山大华特科技股份有限公司原名为山东声乐股份有限公司,是经山东省经济体制改革委员会鲁体改生字[1993]第224号文批准,由山东声乐鞋业集团公司(现已更名为山东声乐集团有限公司)作为发起人采用定向募集方式设立的股份有限公司。1994年4月12日,经中国证券监督管理委员会批准,公司向社会公众发行每股面值1.00元人民币的普通股(A股)3000万股,并于1999年6月9日在深圳证券交易所挂牌上市,股票代码:000915。","Shandong Shanda Wit Science And Technology Co.,Ltd.",山大华特(000915),山东山大华特科技股份有限公司,1999-06-09,1993-06-26,国有相对控股企业,其它,4.68,"环保、建筑智能化、市政公用工程设计、施工、工程总承包;水污染治理工程、污水处理及再生利用工程、工业废水废弃物处理工程、大气污染治理工程总承包;地源热泵工程总承包;环保设备、水处理设备的开发、生产、销售、安装;二氧化氯制备成套装置的集成、销售、安装及技术服务;二氧化氯发生器(消毒器械)的生产(限分支机构经营)(有效期限以许可证为准);次氯酸钠发生器的开发、生产、销售、安装;消毒产品的销售;计算机软件技术开发及服务、产品销售;计算机集成及网络工程施工;工业自动控制设备、信息设备、大屏幕显示设备开发、生产、销售、安装;沥青、防水材料销售;房屋租赁;高新技术开发、成果转让、技术服务;进出口业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",深圳证券交易所
东北证券股份有限公司,"    公司前身为北京中科金财科技有限公司,设立于2003年12月10日。,
    2007年7月26日,中科有限整体变更设立为北京中科金财科技股份有限公司,在北京市工商行政管理局办理了工商登记变更。","Sinodata Co.,Ltd.",中科金财(002657),北京中科金财科技股份有限公司,2012-02-28,2003-12-10,民营相对控股企业,其它,22.00,"建筑智能化工程设计与施工(工程设计资质证书有效期至2020年10月16日);劳务派遣(劳务派遣经营许可证有效期至2018年9月20日);计算机软件技术开发;计算机系统集成及服务;销售计算机及外部设备、电子产品;货物进出口、技术进出口、代理进出口;专业承包;计算机技术培训;技术咨询;计算机硬件产品开发、设计。(企业依法自主选择经营项目,开展经营活动;依法须经批准的项目,经相关部门批准后依批准的内容开展经营活动;不得从事本市产业政策禁止和限制类项目的经营活动)。",深圳证券交易所
东兴证券股份有限公司,"    2008年3月23日,诸暨市露笑电磁线有限公司(前身为湄池福利厂、浙江暨阳建材集团有限公司湄池水泥厂、诸暨市露笑电磁线厂)召开股东会通过决议整体变更设立股份有限公司。","Roshow Technology Co.,Ltd.",露笑科技(002617),露笑科技股份有限公司,2011-09-20,1989-05-24,民营企业,其它,18.00,"漆包线、节能数控电机、汽车及船舶零部件的生产制造和销售,漆包线及专用设备的研究开发,机电设备租赁,经营进出口业务,LED显示屏、光电子器件及元器件、光学材料及技术的研究、开发,光学元件的销售,电子产品、软件产品的研发、销售及售后服务,新能源汽车技术研发,蓄电设备研发,汽车租赁。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",深圳证券交易所
安徽省信托投资公司,"    公司是经安徽省人民政府皖府股字[1997]50号批准证书批准,于1997年8月18日由安徽宿州科苑集团有限责任公司整体变更设立的股份有限公司。公司原名为安徽省科苑应用技术开发(集团)股份有限公司,2001年6月25日更名为安徽省科苑(集团)股份有限公司。,
    经中国证监会证监发行字[2000]第53号文批准,公司于2000年5月向社会公众发行A股股票4,000万股。自2010年3月30日起公司名称变更为“中弘地产股份有限公司”。,
    2011年9月,公司名称由“中弘地产股份有限公司”变更为“中弘控股股份有限公司”,英文名称由“Zhonghong Real Estate Co.,Ltd.”变更为“Zhonghong Holding Co.,Ltd.”。","Zhonghong Holding Co.,Ltd.",中弘股份(000979),中弘控股股份有限公司,2000-06-16,1995-01-28,民营相对控股企业,其它,10.08,"房地产开发,实业投资、管理、经营及咨询,基础建设投资,商品房销售,物业管理及房屋出租,公寓酒店管理,装饰装潢,金属材料、建筑材料、机械电器设备销售,矿业投资、股权投资、旅游投资、文化产业投资。",深圳证券交易所
中航证券有限公司,"    1991年10月,杭州先锋电子技术公司成立。,
    2001年集体所有制改为有限责任公司,并更名为“杭州先锋电子技术有限公司”。,
    2010年5月7日,杭州先锋电子技术有限公司整体变更设立杭州先锋电子技术股份有限公司。","Hangzhou Innover Technology Co.,Ltd.",先锋电子(002767),杭州先锋电子技术股份有限公司,2015-06-12,1991-10-20,民营企业,其它,14.87,"制造:计量器具(具体经营范围详见《制造计量器具许可证》)、电子计算机及其外部设备。软件开发;技术开发、技术服务、技术咨询、成果转让:智能仪表系列产品:批发、零售:本公司制造的产品,电子产品;安装与维修;从事进出口业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",深圳证券交易所
东方证券股份有限公司,"    2001年12月31日,经浙江省人民政府企业上市工作领导小组以浙上市[2001]128号文批准,由浙江亚太集团有限公司、绍兴县鼎力贸易有限公司、中国医药集团上海公司、浙江荣盛建设发展有限公司和绍兴县利盛物资有限公司等5家法人共同发起设立浙江亚太药业股份有限公司,成立时注册资本为6,000万元。","Zhejiang Yatai Pharmaceutical Co.,Ltd.",亚太药业(002370),浙江亚太药业股份有限公司,2010-03-16,2001-12-31,民营企业,其它,16.00,"片剂(含青霉素类)、硬胶囊剂(含头孢菌素类、青霉素类)、透皮贴剂(激素类)、冻干粉针剂粉针剂(头孢菌素类)的生产(详见《中华人民共和国药品生产许可证》),原料药的生产(详见《中华人民共和国药品生产许可证》),经营进出口业务(国家法律法规禁止或者限制的除外),医药相关产业项目的研究、投资与管理。",深圳证券交易所
国信证券股份有限公司,"    公司原名为江阴江南管业设备成套有限公司,2007年12月14日,股东江阴市江南高压管件厂更名为江阴中南投资有限公司,2008年1月21日,经本公司董事会决议,并经中华人民共和国商务部商资批[2008]6号关于""同意江阴江南管业设备成套有限公司转制为外商投资股份有限公司的批复""的核准,公司变更为股份有限公司,并更名为江阴中南重工股份有限公司。,
    2016年5月5日,公司名称由“江阴中南重工股份有限公司”变更为“中南红文化集团股份有限公司”。","Jiangyin Zhongnan Heavy Industries Co.,Ltd.",中南文化(002445),中南红文化集团股份有限公司,2010-07-13,2003-05-28,民营企业,其它,18.80,"广播、电影、电视、音乐节目的制作、发行;经营演出及经纪业务;企业形象策划;组织文化艺术交流活动;手机、计算机软硬件及配套设备、电子产品、通讯产品的技术开发与销售;版权转让、版权代理;销售图书、期刊、报纸、电子出版物。设计、制作、代理和发布各类广告;会务礼仪服务;利用自有资金对外投资;股权投资;教育信息咨询(不含自费出国留学中介服务);管道配件、钢管、机械配件、伸缩接头、预制及直埋保温管的制造;自营和代理各类商品及技术的进出口业务(国家限定企业经营或者禁止进出口的商品和技术除外)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",深圳证券交易所
华林证券股份有限公司,"    公司前身为深圳市英维克科技有限公司,成立于2005年8月15日。,
    2013年8月15日,深圳市英维克科技有限公司整体变更为深圳市英维克科技股份有限公司。","Shenzhen Envicool Technology Co.,Ltd.",英维克(002837),深圳市英维克科技股份有限公司,2016-12-29,2005-08-15,民营企业,其它,18.00,"信息化机房温控设备、通信及电子产品温控设备、信息化机房配套设备、通信网络配套设备、机电一体化设备、专用控制设备、高效节能设备、精密空调设备、通讯机柜空调设备、户外机柜、机柜、冷水机组、暖通及热泵设备、工业空调、军用空调、特种空调、不间断电源、数据中心微模块系统、机房系统、监控系统、自动切换系统、供配电系统、电池的设计、研发、组装、生产、销售、安装、维修;承接设备温控系统、节能系统、机电及建筑智能化的设计、集成、安装、技术咨询服务;软件产品的研究、开发及销售;能源监测及运营管理、合同能源管理;国内贸易,货物及技术进出口。(法律、行政法规、国务院决定禁止的项目除外,限制的项目须取得许可后方可经营)。",深圳证券交易所
中泰证券股份有限公司,"    公司前身为成立于1998年5月11日的台州东音电气有限公司。后于2008年5月更名为浙江东音泵业有限公司,2012年6月,有限公司整体变更设立为浙江东音泵业股份有限公司。","Zhejiang Doyin Pump Industry Co.,ltd.",东音股份(002793),浙江东音泵业股份有限公司,2016-04-15,1998-05-11,民营企业,其它,11.97,"泵及真空设备、电机、电力电子元器件及组件、金属切割及焊接设备、气体压缩机械、太阳能光伏组件、电线、电缆[6千伏及以上(陆上用)干法交联电力电缆制造项目除外]制造、销售;货物进出口、技术进出口(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",深圳证券交易所
海通证券股份有限公司,"    公司前身晋江县浔兴精密模具有限公司成立于1992年2月17日。,
    因晋江县于1994年12月撤县建市,公司名称变更为晋江市浔兴精密模具有限公司。,
    2003年4月17日,晋江市浔兴精密模具有限公司整体变更设立福建浔兴拉链科技股份有限公司。","Fujian SBS Zipper Science & Technology Co.,Ltd.",浔兴股份(002098),福建浔兴拉链科技股份有限公司,2006-12-22,1992-02-17,民营相对控股企业,其它,5.35,"生产拉链、模具、金属及塑料冲压铸件、拉链配件;企业管理咨询;房屋租赁。(依法须经批准项目,经相关部门批准后方可开展经营活动)。",深圳证券交易所
大鹏证券有限责任公司,"    公司是经山东省经济体制改革委员会鲁体改函字[1998]96号文批准,并经山东省人民政府鲁政字[1999]165号文同意成立的股份有限公司。由浪潮电子信息产业集团公司、烟台东方电子信息产业集团有限公司、北京算通科技发展有限公司、山东时风集团公司、山东金达实业有限公司、全泰电脑(惠阳)有限公司发起设立。,
    经1999年3月23日召开的1998年度股东大会决议、中国证券监督管理委员会2000年4月19日发出的证监发行字[2000]43号文批准,以及深圳证券交易所同意,本公司于2000年4月24日以上网定价方式向社会公开发行人民币普通股(""A股"")6500万股。","Inspur Electronic Information Industry Co.,ltd.",浪潮信息(000977),浪潮电子信息产业股份有限公司,2000-06-08,1998-10-28,,其它,7.71,"前置许可经营项目:无。一般经营项目:计算机及软件、电子产品及其他通信设备(不含无线电发射设备)、商业机具、电子工业用控制设备、空调数控装置、电子计时器、电控玩具、教学用具的开发、生产、销售;技术信息服务、计算机租赁业务;电器设备的安装与维修及技术服务;批准范围内的自营进出口业务,房屋租赁。",深圳证券交易所
广发证券股份有限公司,"    公司最早的前身是粤星实业,成立于1995年11月10日,1995年11月30日更名为宇田实业。经广东省人民政府办公厅《关于同意变更设立广东东方锆业科技股份有限公司的复函》(粤办函[2000]502号文)及广东省经济贸易委员会《关于同意设立广东东方锆业科技股份有限公司的批复》(粤经贸监督[2000]757号)批准,宇田实业以截止1999年12月31日经审计的净资产为基准,按1:1的比例折股,整体变更为广东东方锆业科技股份有限公司。2000年9月26日,经广东省工商行政管理局核准登记,公司注册成立,工商注册号为4400002006098号。","Guangdong Orient Zirconic Ind Sci and Tech Co.,Ltd.",东方锆业(002167),广东东方锆业科技股份有限公司,2007-09-13,1995-11-10,国有相对控股企业,其它,8.91,"生产及销售锆系列制品及结构陶瓷制品。有色金属加工、选采、投资及生产销售(国家限制及禁止的除外),矿山勘探、开采和加工;化工产品(不含化学危险品及硅酮结构密封胶)的研制开发、投资、销售及技术服务。经营本企业自产产品及技术的出口业务;经营本企业生产所需的原辅材料、仪器仪表、机械设备、零配件及技术的进口业务(国家限定公司经营和国家禁止进出口的商品除外;不单列贸易方式)。",深圳证券交易所
,"    公司是1989年4月经政府批准由四川省树脂总厂改组设立的股份有限公司。于1992年4月18日经工商登记注册成立,注册号为:5106001800902-X1/1。1993年5月7日公司股票在深圳证券交易所挂牌上市。","Sichuan Jinlu Group Co.,Ltd.",金路集团(000510),四川金路集团股份有限公司,1993-05-07,1992-04-18,民营企业,其它,3.20,化工产品、化工原料、电石、电力、塑料制品、切割工具、人造革、人造金刚石、针纺织品的生产销售;PVC树脂、烧碱、人造革、服装的进出口;化工产品、化工原料、百货、五金、家电、电器机械及器材、普通机械、建筑材料、汽车配件的批发零售;烟、酒零售;房地产开发;汽车、家用电器修理;旅游服务;矿产品、煤炭经营销售;自营和代理各类商品及技术的进出口(但国家限定经营和禁止进出口的商品和技术除外)。,深圳证券交易所
招银证券公司,"    许继电气股份有限公司系由许继电器厂于1993年3月独家发起设立的股份有限公司。,
    1997年4月18日,经中国证监会批准的向社会公众公开发行的人民币普通股股票5,000万股正式在深圳证券交易所挂牌上市交易。","XJ Electric Co.,Ltd.",许继电气(000400),许继电气股份有限公司,1997-04-18,1993-03-15,国有企业,其它,9.24,"生产经营电网调度自动化、配电网自动化、变电站自动化、电站自动化、铁路供电自动化、电网安全稳定控制、电力管理信息系统、电力市场技术支持系统;继电保护及自动控制装置,继电器,电能计量设备,智能仪表,开关及开关柜,环网柜,电缆分支箱,电源设备,智能充换电设备及服务,新能源并网及发电设备,储能系统,直流输电换流阀及大功率电力电子设备,直流场设备,电力通信设备,变压器,电抗器,消弧线圈,互感器,箱式变电站及其他机电产品(不含汽车);从事信息系统集成及服务,工程施工、安装、检修、试验及工程承包;电力技术服务;承办本企业自产的机电产品、成套设备及相关技术的出口业务,经营本企业生产、科研所需要原辅材料、机械设备、仪器仪表、零配件及相关技术的进口业务,低压电器生产经营;房屋租赁(凭证经营)。(以上经营项目国家法律法规须审批的除外)。",深圳证券交易所
南方证券有限公司,"    公司原名称为宝鸡商场(集团)股份有限公司,是经陕西省经济体制改革委员会""陕改发(1992)69号""、""陕改发(1993)4号""及""陕股办(1993)号""文件批准于1993年3月由原宝鸡商场作为发起人,采用定向募集方式设立的股份有限公司。,
    2010年9月21日公司收到宝鸡市工商行政管理局核发的变更后的.公司名称由""宝鸡商场(集团)股份有限公司""变更为""易食集团股份有限公司"",英文名称由""BAOJI DEPARTMENT STORE(GROUP)CO.,LTD.""变更为""E-FOOD GROUP CO.,LTD.""。英文简称由""BAOJI STORE GROUP""变更为""E-FOOD GROUP""。,
    2015年10月8日,公司中文全称由“易食集团股份有限公司”变更为“海航凯撒旅游集团股份有限公司”,英文全称由“E-FOOD GROUP CO.,LTD.”变更为“HNA-CAISSA TRAVEL GROUP CO.,LTD.”。","HNA-Caissa Travel Group Co.,Ltd.",凯撒旅游(000796),海航凯撒旅游集团股份有限公司,1997-07-03,1996-05-28,民营企业,其它,7.74,"百货,纺织品,摩托车,普通机械,电器设备,塑料制品,化工产品及原料(除专营),烟酒,食品,粮油制品,日用杂品,金属材料,木材,五金交电,音像制品,钻石珠宝,黄金首饰,冷饮,建材,汽车(含小轿车),汽车配件的销售,柜台租赁,饮食服务,房地产开发,广告,路桥收费,图书,报刊(零售)、项目投资与资产管理,旅游管理服务。",深圳证券交易所
